h,median,upper,lower,variable,model,value,version,shock,target
1,-0.4229,-0.3077,-0.4975,output,classical_fd,-0.479,original,Main,u_bc
2,-0.5873,-0.4463,-0.6911,output,classical_fd,-0.6555,original,Main,u_bc
3,-0.6204,-0.3959,-0.7706,output,classical_fd,-0.6731,original,Main,u_bc
4,-0.5562,-0.2488,-0.7753,output,classical_fd,-0.5956,original,Main,u_bc
5,-0.4329,-0.054,-0.7361,output,classical_fd,-0.4743,original,Main,u_bc
6,-0.2904,0.125,-0.6424,output,classical_fd,-0.3421,original,Main,u_bc
7,-0.1594,0.2821,-0.5483,output,classical_fd,-0.2203,original,Main,u_bc
8,-0.0467,0.3919,-0.4638,output,classical_fd,-0.1198,original,Main,u_bc
9,0.0416,0.4647,-0.3767,output,classical_fd,-0.0449,original,Main,u_bc
10,0.0922,0.5153,-0.314,output,classical_fd,0.005,original,Main,u_bc
11,0.132,0.5372,-0.2675,output,classical_fd,0.0331,original,Main,u_bc
12,0.1503,0.5348,-0.2392,output,classical_fd,0.0439,original,Main,u_bc
13,0.148,0.526,-0.2278,output,classical_fd,0.0419,original,Main,u_bc
14,0.1394,0.5003,-0.2279,output,classical_fd,0.0314,original,Main,u_bc
15,0.1185,0.4739,-0.2224,output,classical_fd,0.0158,original,Main,u_bc
16,0.1038,0.4525,-0.2219,output,classical_fd,-0.0023,original,Main,u_bc
17,0.0814,0.4232,-0.2233,output,classical_fd,-0.0208,original,Main,u_bc
18,0.0654,0.4008,-0.2339,output,classical_fd,-0.0386,original,Main,u_bc
19,0.0531,0.373,-0.2466,output,classical_fd,-0.055,original,Main,u_bc
20,0.038,0.3515,-0.2664,output,classical_fd,-0.0695,original,Main,u_bc
21,0.0264,0.3405,-0.2739,output,classical_fd,-0.0822,original,Main,u_bc
22,0.0181,0.3225,-0.2899,output,classical_fd,-0.0929,original,Main,u_bc
23,0.0083,0.3045,-0.3011,output,classical_fd,-0.1019,original,Main,u_bc
24,-0.0017,0.2932,-0.3145,output,classical_fd,-0.1094,original,Main,u_bc
25,-0.0075,0.291,-0.3198,output,classical_fd,-0.1154,original,Main,u_bc
26,-0.0184,0.2824,-0.3199,output,classical_fd,-0.1202,original,Main,u_bc
27,-0.0263,0.2776,-0.3318,output,classical_fd,-0.1239,original,Main,u_bc
28,-0.0367,0.2822,-0.3365,output,classical_fd,-0.1267,original,Main,u_bc
29,-0.0397,0.2783,-0.3433,output,classical_fd,-0.1286,original,Main,u_bc
30,-0.041,0.2808,-0.3493,output,classical_fd,-0.1297,original,Main,u_bc
31,-0.041,0.2898,-0.3568,output,classical_fd,-0.1302,original,Main,u_bc
32,-0.0396,0.2902,-0.3605,output,classical_fd,-0.1302,original,Main,u_bc
33,-0.0421,0.2892,-0.3633,output,classical_fd,-0.1296,original,Main,u_bc
34,-0.0458,0.293,-0.3692,output,classical_fd,-0.1286,original,Main,u_bc
35,-0.0455,0.2979,-0.3747,output,classical_fd,-0.1273,original,Main,u_bc
36,-0.0417,0.304,-0.3768,output,classical_fd,-0.1256,original,Main,u_bc
37,-0.0421,0.3089,-0.3811,output,classical_fd,-0.1237,original,Main,u_bc
38,-0.0404,0.3115,-0.384,output,classical_fd,-0.1217,original,Main,u_bc
39,-0.0378,0.3198,-0.3848,output,classical_fd,-0.1195,original,Main,u_bc
40,-0.0381,0.3235,-0.3869,output,classical_fd,-0.1172,original,Main,u_bc
1,-1.3911,-0.9886,-1.6863,investment,classical_fd,-1.5806,original,Main,u_bc
2,-2.0894,-1.6608,-2.4366,investment,classical_fd,-2.3222,original,Main,u_bc
3,-2.183,-1.4699,-2.6885,investment,classical_fd,-2.3541,original,Main,u_bc
4,-1.8638,-0.8349,-2.5884,investment,classical_fd,-1.9775,original,Main,u_bc
5,-1.3295,-0.1302,-2.3381,investment,classical_fd,-1.429,original,Main,u_bc
6,-0.733,0.5658,-1.9025,investment,classical_fd,-0.8554,original,Main,u_bc
7,-0.1919,1.1396,-1.4462,investment,classical_fd,-0.3434,original,Main,u_bc
8,0.2455,1.546,-1.0318,investment,classical_fd,0.0637,original,Main,u_bc
9,0.5763,1.8034,-0.738,investment,classical_fd,0.3538,original,Main,u_bc
10,0.8073,1.9127,-0.4555,investment,classical_fd,0.5339,original,Main,u_bc
11,0.8742,1.916,-0.2588,investment,classical_fd,0.6213,original,Main,u_bc
12,0.8693,1.8387,-0.1581,investment,classical_fd,0.6374,original,Main,u_bc
13,0.8448,1.7563,-0.0909,investment,classical_fd,0.6032,original,Main,u_bc
14,0.7731,1.6094,-0.0369,investment,classical_fd,0.5373,original,Main,u_bc
15,0.6887,1.4451,-0.0511,investment,classical_fd,0.4546,original,Main,u_bc
16,0.591,1.3128,-0.1166,investment,classical_fd,0.366,original,Main,u_bc
17,0.4989,1.1762,-0.1683,investment,classical_fd,0.2791,original,Main,u_bc
18,0.4151,1.064,-0.2185,investment,classical_fd,0.1986,original,Main,u_bc
19,0.3223,0.9583,-0.2804,investment,classical_fd,0.127,original,Main,u_bc
20,0.2489,0.8594,-0.3223,investment,classical_fd,0.0653,original,Main,u_bc
21,0.191,0.7885,-0.3847,investment,classical_fd,0.0133,original,Main,u_bc
22,0.1386,0.7301,-0.4177,investment,classical_fd,-0.0294,original,Main,u_bc
23,0.0906,0.67,-0.4513,investment,classical_fd,-0.064,original,Main,u_bc
24,0.053,0.6236,-0.4835,investment,classical_fd,-0.0913,original,Main,u_bc
25,0.0387,0.5949,-0.5241,investment,classical_fd,-0.1124,original,Main,u_bc
26,-0.0053,0.592,-0.5375,investment,classical_fd,-0.1281,original,Main,u_bc
27,-0.029,0.5833,-0.5506,investment,classical_fd,-0.1392,original,Main,u_bc
28,-0.0463,0.5682,-0.5671,investment,classical_fd,-0.1465,original,Main,u_bc
29,-0.0584,0.5421,-0.5906,investment,classical_fd,-0.1505,original,Main,u_bc
30,-0.0657,0.5406,-0.6089,investment,classical_fd,-0.1518,original,Main,u_bc
31,-0.073,0.5345,-0.6219,investment,classical_fd,-0.1507,original,Main,u_bc
32,-0.0759,0.5354,-0.6512,investment,classical_fd,-0.1478,original,Main,u_bc
33,-0.0719,0.554,-0.6439,investment,classical_fd,-0.1433,original,Main,u_bc
